country,continent,risk_cluster,cluster_reason,cases,deaths,tests,recovered,cases_per_100k,deaths_per_100k,tests_per_100k,recovery_rate,death_rate
Malta,Europe,Extreme Risk,extreme combined risk profile,121420,885.0,2170600.0,120149.0,27344.814461988186,199.30951077960424,488837.54135390837,98.95322022731017,0.7288749794103113
Lithuania,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",1397806,9897.0,10540357.0,1387478.0,52515.37734417149,371.8289158690585,395999.7490333275,99.26112779598886,0.7080381683867433
Belgium,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",4861695,34376.0,37454182.0,4826798.0,41665.91677023807,294.6107386197003,320991.51220085775,99.28220507456761,0.7070784983426562
Serbia,Europe,Extreme Risk,high deaths per 100k,2615054,18057.0,13463733.0,2596608.0,30221.300873591357,208.67868498105167,155595.8408027906,99.29462259670355,0.6905019934578789
Latvia,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",982505,6715.0,7885792.0,971406.0,53141.78589026507,363.2012989787634,426527.1627515027,98.87033653772754,0.6834570816433504
Aruba,North-America,Extreme Risk,"high cases per 100k, high deaths per 100k",44224,292.0,177885.0,42438.0,41096.93427129701,271.35276789116153,165306.8051928742,95.96146888567294,0.66027496382055
Cura&ccedil;ao,North-America,Extreme Risk,extreme combined risk profile,45986,295.0,496693.0,44720.0,27781.23470811761,178.21650586906222,300064.0371173631,97.2469882138042,0.6414995868307746
Barbados,North-America,Extreme Risk,"high cases per 100k, high deaths per 100k",110578,648.0,814159.0,108647.0,38392.072855292805,224.98203268488973,282671.52276033506,98.25372135506159,0.5860116840601204
Montserrat,North-America,Extreme Risk,extreme combined risk profile,1403,8.0,17762.0,1376.0,28257.804632426993,161.12789526686808,357744.2094662639,98.07555238774056,0.5702066999287242
Ireland,Europe,Extreme Risk,high cases per 100k,1734582,9491.0,13083449.0,1724921.0,34552.05660174029,189.0562505589918,260616.14290588876,99.44303584379406,0.5471635241228145
Slovenia,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",1356546,7100.0,2847701.0,1349424.0,65280.26009199079,341.669096848271,137038.22940336875,99.47499015882985,0.5233880753030122
Hong-Kong,Asia,Extreme Risk,high cases per 100k,2937609,14924.0,76127725.0,2916005.0,38630.898127493405,196.2574065012436,1001114.3038957305,99.2645719699252,0.5080322125919413
Portugal,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",5643062,28126.0,46139518.0,5614809.0,55648.370850948224,277.3611345318853,454999.25546591566,99.49933210019667,0.4984173485954965
San-Marino,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",26185,128.0,196855.0,26011.0,76822.64925920493,375.53175883819864,577541.4405163561,99.33549742218828,0.488829482528165
Germany,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",38828995,183027.0,122332384.0,38240600.0,46289.139774122224,218.19164738717208,145835.88428898543,98.4846504525806,0.47136682265405017
Norway,Europe,Extreme Risk,extreme combined risk profile,1509732,6638.0,11002430.0,1503094.0,27393.043834835982,120.4419227887077,199631.48908529096,99.56031931495126,0.43968068504873714
France,Europe,Extreme Risk,"high cases per 100k, high deaths per 100k",40138560,167642.0,271490188.0,39970918.0,61201.273141932674,255.61215529555312,413954.68973333004,99.58234176811524,0.41765823188475126
Seychelles,Africa,Extreme Risk,"high cases per 100k, low testing per 100k",51220,172.0,0.0,51048.0,51515.70011868123,172.9929797034981,0.0,99.66419367434595,0.3358063256540414
Caribbean-Netherlands,North-America,Extreme Risk,high cases per 100k,11682,38.0,30126.0,10476.0,43839.83187600855,142.60517131384395,113055.87871054903,89.6764252696456,0.32528676596473205
Switzerland,Europe,Extreme Risk,high cases per 100k,4453053,14452.0,23833472.0,4438309.0,50754.92637773822,164.72074237855978,271648.71307075955,99.66890131332369,0.3245413876726821
Netherlands,Europe,Extreme Risk,high cases per 100k,8635786,22992.0,25984435.0,8612599.0,50174.66573263713,133.5855143382192,150971.82125361104,99.73150098902404,0.2662409652115048
Israel,Asia,Extreme Risk,high cases per 100k,4841772,12707.0,41373364.0,4798473.0,51916.92043748659,136.2534848809779,443634.6129101437,99.10571997194415,0.262445236991746
Channel-Islands,Europe,Extreme Risk,high cases per 100k,101717,228.0,1252808.0,101321.0,57642.111944146935,129.20555583890106,709955.0614009736,99.61068454633936,0.22415132180461478
New-Zealand,Oceania,Extreme Risk,high cases per 100k,2621111,5697.0,7768604.0,2613791.0,53511.685816206475,116.30796028666023,158601.10330257853,99.72072911067102,0.21735058149006278
Bahrain,Asia,Extreme Risk,high cases per 100k,729549,1574.0,10948549.0,727915.0,40894.39193086481,88.22954030391546,613713.7517566031,99.7760260105901,0.2157497303128371
Australia,Oceania,Extreme Risk,high cases per 100k,11853144,24414.0,81916639.0,11820014.0,45468.71216740691,93.65221065862967,314232.5850772065,99.72049609791293,0.20597066904780706
Cyprus,Asia,Extreme Risk,high cases per 100k,681110,1365.0,9640118.0,679745.0,55674.12437764991,111.57548674295215,787985.9766369922,99.79959184272731,0.20040815727268724
Taiwan,Asia,Extreme Risk,high cases per 100k,10241523,19005.0,30742304.0,10222518.0,42872.019053443706,79.55679268705421,128690.297608545,99.81443189650602,0.18556810349398228
Maldives,Asia,Extreme Risk,high cases per 100k,186694,316.0,2213831.0,163687.0,34510.01414087267,58.41197075704502,409222.2520032903,87.67662592263275,0.16926092964958703
Palau,Oceania,Extreme Risk,high cases per 100k,6290,10.0,71434.0,6276.0,34497.88844403005,54.8456096089508,391784.1276805792,99.77742448330683,0.1589825119236884
S-Korea,Asia,Extreme Risk,high cases per 100k,34571873,35934.0,15804065.0,34535939.0,67352.31058997409,70.00598228334718,30789.19948780729,99.89606001387313,0.10393998612687255
Singapore,Asia,Extreme Risk,high cases per 100k,3006155,2024.0,24756666.0,3004131.0,50578.47621605015,34.05374502022867,416530.2329619389,99.93267146903602,0.06732853096397225
Brunei,Asia,Extreme Risk,high cases per 100k,343719,225.0,717784.0,243601.0,77165.48691043057,50.51287404783233,161143.7012691079,70.87213683270346,0.06546044879683695
Saint-Pierre-Miquelon,North-America,Extreme Risk,high cases per 100k,3452,2.0,25400.0,2449.0,59940.96197256468,34.72825143254037,441048.7931932627,70.94438006952491,0.057937427578215524
Cook-Islands,Oceania,Extreme Risk,high cases per 100k,7203,2.0,19690.0,7150.0,40993.68277275056,11.382391440441637,112059.64373114792,99.264195474108,0.027766208524226017
Nauru,Oceania,Extreme Risk,high cases per 100k,5393,1.0,20509.0,5347.0,49463.45042648812,9.171787581399615,188104.1915069247,99.14704246245132,0.018542555164101613
Niue,Oceania,Extreme Risk,"high cases per 100k, low testing per 100k",1059,0.0,0.0,1056.0,65289.76572133169,0.0,0.0,99.71671388101983,0.0
Falkland-Islands,South-America,Extreme Risk,high cases per 100k,1930,0.0,8632.0,1930.0,54535.17942921729,0.0,243910.70923989825,100.0,0.0
Bermuda,North-America,Severe Risk,high deaths per 100k,18860,165.0,1029558.0,18685.0,30449.31303379131,266.3911267537416,1662212.822292901,99.07211028632025,0.8748674443266171
Greece,Europe,Severe Risk,"high cases per 100k, high deaths per 100k, low recovery rate",6101379,37869.0,102228365.0,0.0,59141.16198912494,367.0672914051352,990907.8413828071,0.0,0.6206629681585097
Turks-and-Caicos,North-America,Severe Risk,multiple adverse indicators,6752,40.0,616788.0,6709.0,16990.010316801287,100.65171988626355,1552019.3251302182,99.36315165876776,0.5924170616113744
Gibraltar,Europe,Severe Risk,"high cases per 100k, high deaths per 100k, low recovery rate",20550,113.0,534283.0,0.0,60971.99145502018,335.27177783052457,1585221.338713506,0.0,0.5498783454987834
Austria,Europe,Severe Risk,"high cases per 100k, high deaths per 100k",6081287,22542.0,211273524.0,6054934.0,67072.69781431192,248.62381172442923,2330211.5541359545,99.56665422960633,0.3706781146819744
Denmark,Europe,Severe Risk,high cases per 100k,3183756,8814.0,129333107.0,3174942.0,54563.552386909905,151.05527896554383,2216524.6831592387,99.7231571766178,0.27684282338219385
UAE,Asia,Severe Risk,low recovery rate,1067030,2349.0,200732262.0,0.0,10583.740875251755,23.299445485100108,1991038.908288562,0.0,0.2201437635305474
Faeroe-Islands,Europe,Severe Risk,"high cases per 100k, low recovery rate",34658,28.0,778000.0,0.0,70395.87268701887,56.87242296833425,1580240.89533443,0.0,0.08078942812626233
Malawi,Africa,High Risk,"high death rate, low recovery rate, low testing per 100k",89535,2686.0,624784.0,0.0,443.6634175615791,13.309654767078811,3095.9267848081045,0.0,2.9999441559166806
Tunisia,Africa,High Risk,"high deaths per 100k, high death rate, low recovery rate",1153361,29423.0,5013383.0,0.0,9574.117497835085,244.24205356241598,41616.387153414194,0.0,2.551065971538833
Paraguay,South-America,High Risk,"high deaths per 100k, high death rate, low recovery rate",837602,20155.0,2657506.0,0.0,11464.82342968498,275.8750769760588,36375.07677074364,0.0,2.4062741015422597
Jamaica,North-America,High Risk,"high death rate, low recovery rate",156869,3756.0,1183986.0,0.0,5255.077394547709,125.82518339455976,39663.27358535443,0.0,2.394354525113311
Honduras,North-America,High Risk,"high death rate, low recovery rate",474590,11165.0,1660662.0,0.0,4643.17122949871,109.23324717620072,16247.15653579255,0.0,2.3525569438884086
Tanzania,Africa,High Risk,"high death rate, low recovery rate, low testing per 100k",43223,846.0,0.0,0.0,68.28434458609242,1.3365235064626282,0.0,0.0,1.957291256969669
Iran,Asia,High Risk,"high death rate, low recovery rate",7627186,146811.0,57320267.0,0.0,8866.466470990721,170.66514558221326,66633.77888827359,0.0,1.9248383348721272
Moldova,Europe,High Risk,"high deaths per 100k, high death rate, low recovery rate",635145,12218.0,3216305.0,0.0,15826.512251782942,304.4475303942942,80143.73172735475,0.0,1.9236552283336876
Poland,Europe,High Risk,"high deaths per 100k, high death rate, low recovery rate",6661991,120598.0,39323709.0,0.0,17652.434956902907,319.5513699932313,104196.9608464913,0.0,1.8102396115515618
Suriname,South-America,High Risk,"high deaths per 100k, low recovery rate",82588,1408.0,242207.0,0.0,13837.753065775738,235.91267879852083,40582.174853518,0.0,1.7048481619605753
Sierra-Leone,Africa,High Risk,"low recovery rate, low testing per 100k",7779,126.0,259958.0,0.0,93.65027311352306,1.5168960550589927,3129.597338738299,0.0,1.619745468569225
Bangladesh,Asia,High Risk,"low recovery rate, low testing per 100k",2049377,29493.0,15254399.0,0.0,1220.697852334513,17.56731033816706,9086.181848412345,0.0,1.4391202789921036
Morocco,Africa,High Risk,low recovery rate,1278992,16303.0,13001033.0,0.0,3386.0171600928456,43.1607373314248,34419.07442496385,0.0,1.2746756820996534
Nicaragua,North-America,High Risk,"low recovery rate, low testing per 100k",18491,225.0,0.0,4225.0,272.7648212889617,3.319024649289729,0.0,22.848953544967824,1.2168081769509491
India,Asia,High Risk,low recovery rate,45035393,533570.0,935879495.0,0.0,3201.64763574913,37.932457456442386,66533.3679338124,0.0,1.1847792690517878
Oman,Asia,High Risk,low recovery rate,399449,4628.0,25000000.0,0.0,7502.8085123327555,86.9272367563218,469572.3679576589,0.0,1.1585959659430867
Saudi-Arabia,Asia,High Risk,low recovery rate,841469,9646.0,45481735.0,0.0,2347.5272318308857,26.91037658932263,126884.78299665931,0.0,1.1463286229201552
Belize,North-America,High Risk,low recovery rate,71409,688.0,576016.0,0.0,17324.292195346803,166.9133166743492,139745.26310681968,0.0,0.9634639891330226
Georgia,Asia,High Risk,"high cases per 100k, high deaths per 100k, low recovery rate",1861665,17132.0,16920079.0,0.0,46908.23632096651,431.673746163138,426333.9882854449,0.0,0.9202514953012492
British-Virgin-Islands,North-America,High Risk,"high deaths per 100k, low recovery rate",7392,64.0,107339.0,0.0,24160.02091776703,209.17767028369724,350826.9054778403,0.0,0.8658008658008658
French-Polynesia,Oceania,High Risk,"high deaths per 100k, low recovery rate, low testing per 100k",79254,650.0,0.0,0.0,27890.23240100787,228.74114947706255,0.0,0.0,0.8201478789714084
